Date,Open,High,Low,Close,Adj Close,Volume
02/01/2020,145.289993,148.199997,145.100006,148.199997,148.199997,9502100
03/01/2020,146.399994,147.899994,146.050003,146.5,146.5,7320200
06/01/2020,145.539993,146.029999,144.309998,145.649994,145.649994,8262500
07/01/2020,145.990005,146.869995,145.419998,145.699997,145.699997,6906500
08/01/2020,145.490005,146.130005,144.820007,145.399994,145.399994,6984200
09/01/2020,146.470001,146.630005,144.610001,144.830002,144.830002,6664200
10/01/2020,145.300003,145.5,144.259995,144.619995,144.619995,5152500
13/01/2020,144.75,144.75,143.360001,143.880005,143.880005,9921300
14/01/2020,143.410004,146.720001,142.289993,145.199997,145.199997,14839100
15/01/2020,145.710007,145.710007,143.929993,144.320007,144.320007,6818200
16/01/2020,145.089996,145.429993,144.440002,145.119995,145.119995,6948400
17/01/2020,145.539993,145.639999,144.009995,144.330002,144.330002,10355300
21/01/2020,144.240005,144.589996,143.009995,143.559998,143.559998,9250200
22/01/2020,144.449997,144.789993,143.539993,144.009995,144.009995,7550000
23/01/2020,143.600006,143.610001,140.649994,142.199997,142.199997,11082000
24/01/2020,141.399994,142.25,139.199997,140.080002,140.080002,13076300
27/01/2020,135.860001,137.729996,135,135.899994,135.899994,12831800
28/01/2020,136.5,138.929993,135.860001,138.369995,138.369995,10390000
29/01/2020,138.600006,138.679993,135.789993,136.059998,136.059998,9382700
30/01/2020,135.089996,137.850006,134.830002,137.809998,137.809998,11847300
31/01/2020,138.399994,138.669998,137.059998,138.309998,138.309998,12379100
03/02/2020,139.789993,141.820007,139.75,141.320007,141.320007,12639900
04/02/2020,145.490005,145.589996,143.25,144.729996,144.729996,23519700
05/02/2020,146.600006,147.300003,138.570007,141.369995,141.369995,27824100
06/02/2020,141.919998,143.949997,141.220001,142.699997,142.699997,9504600
07/02/2020,141.889999,141.990005,140.119995,141.020004,141.020004,10948900
10/02/2020,141.029999,142.589996,140.460007,142.589996,142.589996,8162100
11/02/2020,142.850006,142.990005,140.460007,141.009995,141.009995,10790100
12/02/2020,141.339996,142.220001,140.869995,141.850006,141.850006,8168200
13/02/2020,141.169998,141.899994,140.820007,140.899994,140.899994,7543100
14/02/2020,141.100006,141.279999,139.130005,139.539993,139.539993,9110500
18/02/2020,139.020004,139.660004,138.100006,139.139999,139.139999,8214900
19/02/2020,139.630005,141.869995,139.229996,141.300003,141.300003,7080900
20/02/2020,141.630005,141.630005,138.850006,140.369995,140.369995,5981700
21/02/2020,139.860001,139.880005,138.580002,138.970001,138.970001,7725800
24/02/2020,132.899994,134.440002,131.210007,133.009995,133.009995,19336500
25/02/2020,133.75,133.940002,127.980003,128.190002,128.190002,21032500
26/02/2020,126.120003,128.369995,122.129997,123.360001,123.360001,31195900
27/02/2020,119.809998,122.900002,117.919998,118.040001,118.040001,30827500
28/02/2020,114.510002,118.309998,113.209999,117.650002,117.650002,35389900
02/03/2020,119.129997,119.980003,116.029999,119.980003,119.980003,21775900
03/03/2020,121.150002,121.779999,115.150002,116.449997,116.449997,19529700
04/03/2020,118.959999,119.239998,115.480003,119.18,119.18,13842100
05/03/2020,116.860001,116.959999,112.110001,113.980003,113.980003,22397200
06/03/2020,110.760002,115.870003,110.32,115.269997,115.269997,22899600
09/03/2020,108.690002,110.43,104.279999,104.349998,104.349998,26233600
10/03/2020,108.099998,111.580002,102.43,111.459999,111.459999,24083700
11/03/2020,108.419998,108.900002,102.860001,105.510002,105.510002,24771300
12/03/2020,97.620003,100,91.639999,91.809998,91.809998,40392900
13/03/2020,100.779999,102.870003,92.25,102.519997,102.519997,40960100
16/03/2020,91.800003,98.279999,90,95.010002,95.010002,35379500
17/03/2020,95.800003,97.459999,91.150002,93.529999,93.529999,27526200
18/03/2020,87.589996,89.339996,79.07,88.800003,88.800003,43592500
19/03/2020,88,97.400002,85.110001,94.93,94.93,30866800
20/03/2020,95.989998,96.989998,85.839996,85.980003,85.980003,31957800
23/03/2020,84.489998,87.279999,81.089996,85.760002,85.760002,32246600
24/03/2020,92.330002,99.169998,91.800003,98.120003,98.120003,32538100
25/03/2020,100.660004,105.919998,95.510002,100.730003,100.730003,28533000
26/03/2020,100.830002,107.730003,100.800003,105.360001,105.360001,24520300
27/03/2020,100.449997,101.489998,95.540001,96.400002,96.400002,30591500
30/03/2020,96,100.459999,92.099998,99.800003,99.800003,23119200
31/03/2020,100.220001,103.160004,96.160004,96.599998,96.599998,21563200
01/04/2020,93.5,97.400002,92.559998,94.919998,94.919998,18303900
02/04/2020,94.199997,97.260002,94.199997,96.970001,96.970001,13936500
03/04/2020,96.309998,96.919998,92.709999,93.879997,93.879997,14814600
06/04/2020,97.260002,100.190002,94.519997,99.580002,99.580002,20407400
07/04/2020,104.860001,105.889999,100.25,101.239998,101.239998,22899600
08/04/2020,100.529999,102.349998,98.650002,101.07,101.07,22562500
09/04/2020,107.919998,107.989998,103.529999,104.5,104.5,31453600
13/04/2020,104.709999,104.870003,99.610001,103.5,103.5,17306000
14/04/2020,105.5,107.639999,103.900002,106.029999,106.029999,19866900
15/04/2020,104.389999,104.879997,102.699997,103.370003,103.370003,14157600
16/04/2020,103.529999,103.720001,100.889999,102.019997,102.019997,18029300
17/04/2020,106.209999,106.790001,104.349998,106.629997,106.629997,17926900
20/04/2020,103.580002,104.860001,102,102.260002,102.260002,17021000
21/04/2020,100.010002,101.510002,99.129997,100.540001,100.540001,16101400
22/04/2020,101.800003,102.629997,100.889999,100.989998,100.989998,11463800
23/04/2020,100.650002,102.529999,99.459999,101,101,17132200
24/04/2020,101.779999,101.919998,99.519997,101.190002,101.190002,13614100
27/04/2020,102,106.519997,101.610001,106.059998,106.059998,15518300
28/04/2020,108.790001,110.059998,105.980003,106.209999,106.209999,16503700
29/04/2020,109.940002,112.699997,108.559998,112.25,112.25,20139800
30/04/2020,109.440002,110.309998,106.860001,108.150002,108.150002,18638700
01/05/2020,106.360001,106.910004,104.470001,105.5,105.5,13209100
04/05/2020,102.010002,103.830002,100.550003,103.18,103.18,19514800
05/05/2020,101.510002,105.18,100.900002,101.059998,101.059998,30169800
06/05/2020,101.480003,105.269997,98.860001,100.879997,100.879997,51992400
07/05/2020,101.849998,105.610001,101.830002,105.57,105.57,20868800
08/05/2020,109.050003,109.18,106.629997,109.160004,109.160004,24079700
11/05/2020,108.400002,108.809998,106.410004,107.769997,107.769997,20555900
12/05/2020,109.059998,109.440002,104.489998,104.559998,104.559998,17049700
13/05/2020,104.5,104.540001,101.599998,102.919998,102.919998,21085800
14/05/2020,101.980003,105.919998,99.660004,105.910004,105.910004,22002200
15/05/2020,104.980003,109.379997,104.269997,109.050003,109.050003,29766000
18/05/2020,114.470001,119.779999,114.470001,116.849998,116.849998,40044600
19/05/2020,115.099998,116.470001,113.419998,114.370003,114.370003,20332600
20/05/2020,116.419998,120.870003,116.040001,119.919998,119.919998,25749900
21/05/2020,119.339996,120.300003,116.5,117.830002,117.830002,17578300
22/05/2020,117.5,118.57,116.830002,118.019997,118.019997,9288200
26/05/2020,121.050003,122.510002,120.43,120.949997,120.949997,16466400
27/05/2020,123.68,123.779999,119.709999,121.529999,121.529999,19345400
28/05/2020,121.599998,121.980003,116,116.75,116.75,18606000
29/05/2020,116.190002,117.75,114.120003,117.300003,117.300003,17745100
01/06/2020,117.260002,119.650002,116.93,118.769997,118.769997,10538300
02/06/2020,119,119.849998,117.830002,118.75,118.75,10753100
03/06/2020,119.989998,122.449997,119.32,122.18,122.18,12584300
04/06/2020,121.949997,124.5,121.849998,123.690002,123.690002,14195100
05/06/2020,126.309998,127.82,124.279999,124.82,124.82,16581600
